ID,Player,Span,Mat,Inns, Overs ,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
505,S Hirugade (Mex),2019-2019,6,5, 13.30 ,0,92,6,16-Apr,15.33,6.81,13.5,1,0
506,Irfan Bhima (MWI),2019-2019,4,4, 15.00 ,3,51,6,14-Mar,8.5,3.4,15,0,0
507,S Kaveri (Mex),2019-2019,7,5, 13.00 ,0,70,6,10-Feb,11.66,5.38,13,0,0
508,MR Marsh (AUS),2011-2018,11,9, 19.00 ,0,156,6,6-Feb,26,8.21,19,0,0
509,JL Martel (GUE),2019-2019,3,3, 11.00 ,0,59,6,15-Mar,9.83,5.36,11,0,0
510,CAJ Meschede (GER),2019-2019,5,5, 20.00 ,0,115,6,11-Feb,19.16,5.75,20,0,0
511,M Mooketsi (Botsw),2019-2019,7,7, 25.00 ,0,197,6,Feb-31,32.83,7.88,25,0,0
512,A Morris (Caym),2019-2019,6,6, 22.00 ,1,114,6,17-Feb,19,5.18,22,0,0
513,JM Muirhead (AUS),2014-2014,5,5, 15.00 ,0,109,6,13-Feb,18.16,7.26,15,0,0
514,T Muzarabani (ZIM),2015-2016,9,9, 30.00 ,0,280,6,Feb-31,46.66,9.33,30,0,0
515,M Ntini (SA),2005-2011,10,10, 32.00 ,0,298,6,22-Feb,49.66,9.31,32,0,0
516,IE O'Brien (NZ),2009-2009,4,4, 13.00 ,0,116,6,Feb-30,19.33,8.92,13,0,0
517,SNJ O'Keefe (AUS),2010-2011,7,7, 19.00 ,0,149,6,29-Mar,24.83,7.84,19,0,0
518,IO Okpe (NGA),2019-2019,8,8, 20.50 ,1,188,6,17-Feb,31.33,9.02,20.8,0,0
519,SA Okpe (NGA),2019-2019,8,7, 12.20 ,0,94,6,22-Feb,15.66,7.62,12.3,0,0
520,BA Pai (GIBR),2019-2019,4,4, 15.00 ,0,82,6,14-Mar,13.66,5.46,15,0,0
521,KA Reynolds (Blz),2019-2019,3,3, 11.00 ,0,60,6,26-Mar,10,5.45,11,0,0
522,Rokhan Barakzai (AFG),2015-2015,3,3, 10.00 ,0,75,6,21-Feb,12.5,7.5,10,0,0
523,JE Root (ENG),2012-2019,32,9, 14.00 ,0,139,6,9-Feb,23.16,9.92,14,0,0
524,Sabbir Rahman (BDESH),2014-2019,44,8, 11.10 ,0,70,6,11-Mar,11.66,6.26,11.1,0,0
525,Sagar Pun (NEPAL),2014-2015,9,8, 23.30 ,0,131,6,26-Mar,21.83,5.57,23.5,0,0
526,NA Saini (INDIA),2019-2019,5,5, 17.00 ,1,137,6,17-Mar,22.83,8.05,17,0,0
527,E Schiferli (NL),2008-2010,7,6, 23.00 ,0,146,6,23-Mar,24.33,6.34,23,0,0
528,PH Shamdasani (Peru),2019-2019,4,4, 12.00 ,1,70,6,8-Feb,11.66,5.83,12,0,0
529,MM Sharma (INDIA),2014-2015,8,8, 23.00 ,0,185,6,28-Feb,30.83,8.04,23,0,0
530,Shoaib Qureshi (Fin),2019-2019,5,5, 13.40 ,0,109,6,22-Feb,18.16,7.97,13.6,0,0
531,Sidhant Singh (SGP),2019-2019,8,8, 23.00 ,0,216,6,27-Feb,36,9.39,23,0,0
532,LMP Simmons (WI),2007-2019,49,3, 6.00 ,0,55,6,19-Apr,9.16,9.16,6,1,0
533,TB Sole (SCOT),2019-2019,9,6, 21.00 ,0,137,6,15-Feb,22.83,6.52,21,0,0
534,Soumya Sarkar (BDESH),2015-2019,46,13, 23.30 ,0,249,6,Feb-29,41.5,10.59,23.5,0,0
535,BB Sran (INDIA),2016-2016,2,2, 8.00 ,1,41,6,10-Apr,6.83,5.12,8,1,0
536,Tariq Aziz (PORT),2019-2019,4,4, 16.00 ,0,70,6,20-Mar,11.66,4.37,16,0,0
537,WPUJC Vaas (SL),2006-2007,6,6, 22.00 ,1,128,6,14-Feb,21.33,5.81,22,0,0
538,JDF Vandersay (SL),2015-2019,10,10, 35.00 ,1,262,6,26-Feb,43.66,7.48,35,0,0
539,Waheed Ahmed (UAE),2019-2019,10,10, 27.00 ,0,198,6,21-Mar,33,7.33,27,0,0
540,KS Williamson (NZ),2011-2019,57,12, 19.40 ,0,164,6,16-Feb,27.33,8.33,19.6,0,0
541,Zeshan Arif (Aut),2019-2019,4,3, 7.50 ,0,49,6,10-Apr,8.16,6.25,7.8,1,0
542,Abdul Wahid (Saudi),2019-2019,5,5, 17.00 ,0,117,5,21-Feb,23.4,6.88,20.4,0,0
543,CN Ackermann (NL),2019-2019,11,10, 25.00 ,0,147,5,6-Jan,29.4,5.88,30,0,0
544,Ameel Mauroof (Mald),2019-2019,10,10, 23.00 ,0,173,5,13-Feb,34.6,7.52,27.6,0,0
545,Amjad Sher (Fin),2019-2019,5,5, 18.00 ,2,88,5,22-Feb,17.6,4.88,21.6,0,0
546,R Ankad (Mex),2019-2019,8,8, 23.40 ,1,178,5,22-Mar,35.6,7.52,28.4,0,0
547,Anshuman Rath (HKG),2015-2017,20,13, 33.00 ,0,264,5,6-Mar,52.8,8,39.6,0,0
548,Arshad Hayat (CZK-R),2019-2019,6,5, 10.00 ,0,103,5,15-Feb,20.6,10.3,12,0,0
549,Babar Ali (BAH),2019-2019,3,3, 9.00 ,0,70,5,18-Feb,14,7.77,10.8,0,0
550,V Baskaran (SGP),2019-2019,12,12, 36.00 ,2,245,5,22-Feb,49,6.8,43.2,0,0
551,S Bhari (NEPAL),2019-2019,6,6, 18.00 ,0,113,5,22-Feb,22.6,6.27,21.6,0,0
552,Bilawal Bhatti (PAK),2013-2015,9,9, 26.00 ,0,255,5,Feb-36,51,9.8,31.2,0,0
553,DR Briggs (ENG),2012-2014,7,6, 18.00 ,0,199,5,25-Feb,39.8,11.05,21.6,0,0
554,KJ Coetzer (SCOT),2008-2019,58,5, 11.00 ,0,71,5,25-Mar,14.2,6.45,13.2,0,0
555,H Dandapani (Fin),2019-2019,5,5, 15.00 ,0,90,5,6-Feb,18,6,18,0,0
556,LA Dawson (ENG),2016-2018,6,6, 20.00 ,0,152,5,27-Mar,30.4,7.6,24,0,0
557,DM de Silva (SL),2015-2019,13,7, 15.00 ,0,100,5,22-Feb,20,6.66,18,0,0
558,AC Douglas (BMUDA),2019-2019,10,2, 4.20 ,0,30,5,18-May,6,6.92,5.2,0,1
559,A Flintoff (ENG),2005-2007,7,7, 25.00 ,0,161,5,23-Feb,32.2,6.44,30,0,0
560,R Frylinck (SA),2017-2018,3,3, 10.00 ,0,62,5,20-Feb,12.4,6.2,12,0,0
561,GC Galanis (),2019-2019,2,2, 4.20 ,0,32,5,Mar-32,6.4,7.38,5.2,0,0
562,WT Gavera (PNG),2015-2017,6,6, 17.00 ,1,113,5,17-Mar,22.6,6.64,20.4,0,0
563,DAS Gunaratne (SL),2016-2017,12,10, 24.50 ,0,204,5,11-Jan,40.8,8.21,29.8,0,0
564,MD Gunathilaka (SL),2016-2019,21,9, 15.40 ,0,128,5,3-Feb,25.6,8.17,18.8,0,0
565,AM Guruge (UAE),2014-2015,5,5, 16.00 ,0,125,5,18-Feb,25,7.81,19.2,0,0
566,J Hurley (Arg),2019-2019,3,3, 10.00 ,0,33,5,13-Mar,6.6,3.3,12,0,0
567,Imran Anwar (BAH),2019-2019,4,4, 16.00 ,0,134,5,24-Feb,26.8,8.37,19.2,0,0
568,MS Kasprowicz (AUS),2005-2005,2,2, 7.00 ,0,57,5,29-Apr,11.4,8.14,8.4,1,0
569,VJ Kingma (NL),2016-2019,4,4, 14.40 ,0,142,5,Feb-47,28.4,9.68,17.6,0,0
570,SC Kuggeleijn (NZ),2019-2019,9,9, 26.50 ,0,260,5,Feb-38,52,9.68,32.2,0,0
571,R Kumar (ROM),2019-2019,4,3, 12.00 ,0,98,5,28-Feb,19.6,8.16,14.4,0,0
572,GD McGrath (AUS),2005-2005,2,2, 8.00 ,0,79,5,31-Mar,15.8,9.87,9.6,0,0
573,MW Machan (SCOT),2013-2016,13,7, 22.30 ,0,156,5,23-Mar,31.2,6.93,27,0,0
574,P Mishra (),2019-2019,3,3, 9.00 ,0,37,5,12-Mar,7.4,4.11,10.8,0,0
575,DJ Mitchell (NZ),2019-2019,9,5, 9.10 ,0,89,5,27-Feb,17.8,9.7,11,0,0
576,Mosaddek Hossain (BDESH),2016-2019,14,12, 21.40 ,0,160,5,21-Feb,32,7.38,26,0,0
577,Muhammad Nadeem (Saudi),2019-2019,5,2, 5.00 ,0,49,5,16-Mar,9.8,9.8,6,0,0
578,Muhammad Saleem (),2019-2019,4,4, 11.00 ,1,45,5,19-Mar,9,4.09,13.2,0,0
579,Muhammad Wafiq (MAL),2019-2019,4,4, 16.00 ,1,114,5,10-Mar,22.8,7.12,19.2,0,0
580,DM Nakrani (UGA),2019-2019,4,4, 12.00 ,0,93,5,Feb-29,18.6,7.75,14.4,0,0
581,W Nalisa (VAN),2019-2019,9,7, 20.00 ,0,177,5,25-Feb,35.4,8.85,24,0,0
582,Naved-ul-Hasan (PAK),2006-2010,4,4, 14.10 ,0,101,5,19-Mar,20.2,7.12,17,0,0
583,RJ Nicol (NZ),2010-2013,21,13, 20.30 ,0,167,5,20-Feb,33.4,8.14,24.6,0,0
584,PJ Ongondo (KENYA),2007-2008,8,8, 26.00 ,1,177,5,18-Feb,35.4,6.8,31.2,0,0
585,MW Parkinson (ENG),2019-2019,2,2, 6.00 ,0,61,5,Apr-47,12.2,10.16,7.2,1,0
586,MIA Patel (MWI),2019-2019,3,3, 12.00 ,0,83,5,25-Mar,16.6,6.91,14.4,0,0
587,NK Patel (USA),2019-2019,4,4, 13.00 ,1,61,5,8-Feb,12.2,4.69,15.6,0,0
588,SS Pathirana (SL),2016-2017,5,5, 15.50 ,0,119,5,23-Feb,23.8,7.51,19,0,0
589,K Pierre (WI),2018-2019,8,8, 23.00 ,0,203,5,Feb-44,40.6,8.82,27.6,0,0
590,J Rasu (VAN),2019-2019,13,2, 3.50 ,0,44,5,May-36,8.8,11.47,4.6,0,1
591,DMW Rawlins (BMUDA),2019-2019,11,11, 37.00 ,0,285,5,22-Feb,57,7.7,44.4,0,0
592,Raza Iqbal (NOR),2019-2019,5,4, 13.00 ,0,85,5,20-Feb,17,6.53,15.6,0,0
593,LH Rodrigues (),2019-2019,4,4, 13.00 ,1,61,5,15-Mar,12.2,4.69,15.6,0,0
594,HAM Shah (DEN),2019-2019,9,4, 10.00 ,0,86,5,23-Apr,17.2,8.6,12,1,0
595,KD Shah (HKG),2014-2019,26,9, 24.00 ,1,190,5,Feb-31,38,7.91,28.8,0,0
596,V Shankar (INDIA),2018-2019,9,6, 21.00 ,0,191,5,Feb-32,38.2,9.09,25.2,0,0
597,Sharafuddin Ashraf (AFG),2015-2019,8,8, 25.00 ,1,201,5,27-Mar,40.2,8.04,30,0,0
598,Sohail Khan (PAK),2008-2017,5,5, 15.00 ,0,123,5,13-Feb,24.6,8.2,18,0,0
599,ACF Stokes (GUE),2019-2019,7,7, 23.20 ,0,152,5,26-Feb,30.4,6.51,28,0,0
600,Tauqeer Hussain (ESP),2019-2019,4,4, 9.30 ,0,48,5,12-Feb,9.6,5.05,11.4,0,0
601,RML Taylor (SCOT),2013-2016,9,9, 25.00 ,1,196,5,17-Mar,39.2,7.84,30,0,0
602,RJW Topley (ENG),2015-2016,6,6, 17.10 ,0,173,5,24-Mar,34.6,10.07,20.6,0,0
603,Usama Master (MWI),2019-2019,6,5, 13.10 ,0,106,5,24-Feb,21.2,8.05,15.8,0,0
604,LV van Beek (NL),2014-2016,8,7, 17.00 ,0,160,5,9-Mar,32,9.41,20.4,0,0
605,W Viraliliu (VAN),2019-2019,10,9, 20.20 ,0,164,5,19-Mar,32.8,8.06,24.4,0,0
606,S Waqas Ahmed (NOR),2019-2019,5,4, 10.00 ,0,83,5,24-Feb,16.6,8.3,12,0,0
607,AA Westphal (Mex),2019-2019,5,5, 19.00 ,0,65,5,10-Feb,13,3.42,22.8,0,0
608,BTJ Wheal (SCOT),2016-2017,5,5, 17.20 ,0,143,5,20-Mar,28.6,8.25,20.8,0,0
609,Yamin Ahmadzai (AFG),2015-2015,2,2, 7.10 ,0,65,5,Mar-34,13,9.06,8.6,0,0
610,Yasar Haroon (),2019-2019,4,4, 13.00 ,1,72,5,18-Feb,14.4,5.53,15.6,0,0
611,Yasir Ali (ESP),2019-2019,9,5, 9.50 ,0,52,5,11-Feb,10.4,5.28,11.8,0,0
612,Abul Hasan (BDESH),2012-2018,5,5, 14.00 ,0,148,4,Feb-33,37,10.57,21,0,0
613,Abu Jayed (BDESH),2018-2018,3,3, 11.00 ,0,106,4,27-Feb,26.5,9.63,16.5,0,0
614,Afif Hossain (BDESH),2018-2019,8,5, 10.00 ,1,79,4,9-Feb,19.75,7.9,15,0,0
615,SA Ahmad (DEN),2019-2019,5,3, 9.00 ,1,40,4,9-Mar,10,4.44,13.5,0,0
616,D Ajekun (NGA),2019-2019,6,6, 11.10 ,0,76,4,5-Jan,19,6.8,16.7,0,0
617,DI Allan (KENYA),2012-2013,10,7, 9.20 ,0,82,4,8-Feb,20.5,8.78,14,0,0
618,MA Aponso (SL),2018-2018,3,3, 10.00 ,0,79,4,Feb-29,19.75,7.9,15,0,0
619,Arslan Ahmed (),2019-2019,3,3, 9.00 ,1,40,4,15-Mar,10,4.44,13.5,0,0
620,Ashiqullah Said (Belg),2019-2019,3,3, 11.00 ,0,82,4,Feb-34,20.5,7.45,16.5,0,0
621,A Aspiotis (),2019-2019,3,3, 11.00 ,0,71,4,24-Feb,17.75,6.45,16.5,0,0
622,Asrar Ahmed (),2019-2019,3,3, 10.00 ,2,46,4,4-Feb,11.5,4.6,15,0,0
623,NJ Astle (NZ),2005-2006,4,2, 6.50 ,0,50,4,20-Mar,12.5,7.31,10.2,0,0
624,R Avery (),2019-2019,4,4, 11.00 ,0,66,4,13-Feb,16.5,6,16.5,0,0
625,JD Baker (Samoa),2019-2019,4,4, 13.00 ,0,107,4,Feb-32,26.75,8.23,19.5,0,0
626,HMCM Bandara (SL),2006-2009,4,4, 14.00 ,0,96,4,Mar-32,24,6.85,21,0,0
627,HH Banner (Blz),2019-2019,3,3, 12.00 ,1,67,4,18-Feb,16.75,5.58,18,0,0
628,MD Bates (NZ),2012-2012,3,3, 11.00 ,0,107,4,31-Mar,26.75,9.72,16.5,0,0
629,S Bau (PNG),2016-2019,23,10, 14.00 ,0,79,4,4-Feb,19.75,5.64,21,0,0
630,TS Braat (NL),2019-2019,3,3, 10.00 ,0,70,4,26-Mar,17.5,7,15,0,0
631,GB Brent (ZIM),2006-2007,3,3, 11.00 ,0,93,4,19-Feb,23.25,8.45,16.5,0,0
632,J Bulele (Moz),2019-2019,7,5, 14.20 ,0,107,4,Feb-30,26.75,7.46,21.5,0,0
633,DE Burgess (Samoa),2019-2019,4,3, 8.30 ,0,86,4,Mar-47,21.5,10.11,12.7,0,0
634,PP Chawla (INDIA),2010-2012,7,7, 23.00 ,1,151,4,13-Feb,37.75,6.56,34.5,0,0
635,MD Dai (PNG),2015-2017,9,9, 25.00 ,0,157,4,13-Feb,39.25,6.28,37.5,0,0
636,I Danladi (NGA),2019-2019,3,3, 9.00 ,0,52,4,10-Feb,13,5.77,13.5,0,0
637,K Dasan (),2019-2019,3,2, 8.00 ,0,52,4,23-Mar,13,6.5,12,0,0
638,JM Davison (CAN),2008-2010,5,5, 18.00 ,0,91,4,19-Feb,22.75,5.05,27,0,0
639,RR Emrit (WI),2018-2018,4,4, 16.00 ,0,156,4,24-Jan,39,9.75,24,0,0
640,S Goustis (),2019-2019,3,3, 9.00 ,1,42,4,28-Feb,10.5,4.66,13.5,0,0
641,Jandu Hamoud (KUW),2019-2019,6,6, 16.00 ,0,112,4,25-Feb,28,7,24,0,0
642,RJ Harris (AUS),2010-2010,3,3, 11.40 ,1,95,4,27-Feb,23.75,8.14,17.5,0,0
643,MC Henriques (AUS),2009-2017,11,7, 17.00 ,0,158,4,Feb-35,39.5,9.29,25.5,0,0
644,MG Hunter (GIBR),2019-2019,4,4, 11.30 ,0,63,4,22-Feb,15.75,5.47,17.2,0,0
645,Hussain Talat (PAK),2018-2019,14,6, 6.00 ,0,54,4,12-Feb,13.5,9,9,0,0
646,AF Ifill (Caym),2019-2019,6,6, 18.30 ,1,151,4,7-Jan,37.75,8.16,27.7,0,0
647,Imran Bulbulia (PNM),2019-2019,3,3, 10.00 ,0,59,4,20-Feb,14.75,5.9,15,0,0
648,RK Inampud (Mex),2019-2019,3,3, 12.00 ,0,68,4,Feb-29,17,5.66,18,0,0
649,DF Jacobs (THAI),2019-2019,4,2, 5.00 ,0,26,4,13-Apr,6.5,5.2,7.5,1,0
650,Joginder Sharma (INDIA),2007-2007,4,4, 14.30 ,0,138,4,20-Feb,34.5,9.51,21.7,0,0
651,MO Jones (BMUDA),2019-2019,8,7, 15.00 ,0,116,4,26-Feb,29,7.73,22.5,0,0
652,MBS Jonkman (NL),2010-2010,3,3, 8.00 ,0,47,4,21-Feb,11.75,5.87,12,0,0
653,S Kaul (INDIA),2018-2019,3,3, 9.40 ,0,84,4,Feb-35,21,8.68,14.5,0,0
654,S Kizilkaya (TKY),2019-2019,4,4, 9.00 ,0,74,4,9-Feb,18.5,8.22,13.5,0,0
655,V Kohli (INDIA),2010-2019,75,12, 24.20 ,0,198,4,13-Jan,49.5,8.13,36.5,0,0
656,A Krishna (SGP),2019-2019,4,4, 12.00 ,0,121,4,27-Mar,30.25,10.08,18,0,0
657,GA Lamb (ZIM),2010-2010,5,5, 12.10 ,0,80,4,14-Feb,20,6.57,18.2,0,0
658,A Lark (Aut),2019-2019,5,4, 10.50 ,0,55,4,20-Mar,13.75,5.07,16.2,0,0
659,E Leie (SA),2015-2015,2,2, 6.00 ,0,48,4,16-Mar,12,8,9,0,0
660,J Lewis (ENG),2005-2007,2,2, 7.00 ,0,55,4,24-Apr,13.75,7.85,10.5,1,0
661,ML Lewis (AUS),2006-2006,2,2, 7.30 ,0,49,4,18-Feb,12.25,6.53,11.2,0,0
662,T Lungameni (NAM),2019-2019,6,6, 16.00 ,1,88,4,16-Feb,22,5.5,24,0,0
663,CJ McKay (AUS),2010-2013,6,6, 22.40 ,1,183,4,24-Feb,45.75,8.07,34,0,0
664,CS MacLeod (SCOT),2009-2019,49,11, 23.00 ,0,174,4,17-Feb,43.5,7.56,34.5,0,0
665,SW Masakadza (ZIM),2010-2013,7,7, 19.30 ,0,211,4,Feb-39,52.75,10.82,29.2,0,0
666,GE Mathurin (WI),2011-2012,3,3, 10.00 ,0,65,4,9-Mar,16.25,6.5,15,0,0
667,Mehidy Hasan Miraz (BDESH),2017-2018,13,13, 36.00 ,0,330,4,Feb-31,82.5,9.16,54,0,0
668,K Mendon (CZK-R),2019-2019,6,5, 8.40 ,0,78,4,19-Mar,19.5,9,13,0,0
669,Mohammad Ahsan (KUW),2019-2019,6,6, 20.00 ,0,192,4,Feb-31,48,9.6,30,0,0
670,Mohammad Kashif (NL),2010-2010,3,3, 7.00 ,0,55,4,28-Feb,13.75,7.85,10.5,0,0
671,PL Mommsen (SCOT),2012-2016,24,7, 23.00 ,0,164,4,23-Jan,41,7.13,34.5,0,0
672,JK Mukhiya (NEPAL),2014-2015,4,4, 10.00 ,0,56,4,18-Mar,14,5.6,15,0,0
673,C Munro (NZ),2012-2019,60,12, 19.40 ,0,186,4,12-Jan,46.5,9.45,29.5,0,0
674,N M'shangwe (ZIM),2013-2014,5,5, 16.00 ,0,142,4,Feb-33,35.5,8.87,24,0,0
675,Najjam Shahzad (PORT),2019-2019,4,4, 12.20 ,0,65,4,16-Feb,16.25,5.27,18.5,0,0
676,Nawroz Mangal (AFG),2010-2017,32,6, 10.00 ,0,80,4,23-Mar,20,8,15,0,0
677,Nazril Rahman (MAL),2019-2019,7,7, 17.00 ,0,166,4,28-Feb,41.5,9.76,25.5,0,0
678,SN Netravalkar (USA),2019-2019,8,8, 22.40 ,0,161,4,28-Feb,40.25,7.1,34,0,0
679,JO Ngoche (KENYA),2012-2013,7,7, 24.00 ,0,140,4,Feb-31,35,5.83,36,0,0
680,Nizakat Khan (HKG),2014-2019,34,5, 14.00 ,0,83,4,19-Mar,20.75,5.92,21,0,0
681,AA Noffke (AUS),2007-2008,2,2, 7.30 ,1,41,4,18-Mar,10.25,5.46,11.2,0,0
682,GM Ntambalika (MWI),2019-2019,3,3, 9.00 ,0,56,4,13-Feb,14,6.22,13.5,0,0
683,LN Onyango (KENYA),2007-2010,5,5, 13.00 ,0,128,4,17-Feb,32,9.84,19.5,0,0
684,MM Patel (INDIA),2011-2011,3,3, 10.00 ,0,86,4,25-Feb,21.5,8.6,15,0,0
685,RR Patel (KENYA),2008-2019,30,7, 15.00 ,0,104,4,19-Feb,26,6.93,22.5,0,0
686,VD Philander (SA),2007-2007,7,6, 13.50 ,0,114,4,23-Feb,28.5,8.24,20.7,0,0
687,S Pillai (CRC),2019-2019,3,3, 8.40 ,0,56,4,14-Mar,14,6.46,13,0,0
688,EB Ringera (KENYA),2019-2019,1,1, 4.00 ,0,18,4,18-Apr,4.5,4.5,6,1,0
689,S Rossi (Arg),2019-2019,5,3, 6.50 ,2,21,4,15-Feb,5.25,3.07,10.2,0,0
690,Sahir Naqash (GER),2019-2019,7,5, 9.00 ,0,52,4,3-Feb,13,5.77,13.5,0,0
691,O Sam Arthur (CRC),2019-2019,3,3, 9.00 ,0,76,4,21-Feb,19,8.44,13.5,0,0
692,MM Sarwar (KUW),2019-2019,5,4, 10.40 ,0,99,4,13-Feb,24.75,9.28,16,0,0
693,A Sathya (Mex),2019-2019,3,3, 11.30 ,0,76,4,Feb-32,19,6.6,17.2,0,0
694,CP Schofield (ENG),2007-2007,4,4, 12.50 ,0,92,4,15-Feb,23,7.16,19.2,0,0
695,L Shafeeg (Mald),2019-2019,3,3, 11.00 ,0,76,4,Mar-33,19,6.9,16.5,0,0
696,Shahadat Hossain (BDESH),2006-2013,6,6, 20.00 ,0,198,4,22-Feb,49.5,9.9,30,0,0
697,NK Shetty (Mex),2019-2019,2,2, 8.00 ,0,42,4,17-Mar,10.5,5.25,12,0,0
698,L Sipamla (SA),2019-2019,5,5, 15.40 ,0,131,4,22-Feb,32.75,8.36,23.5,0,0
699,Sohag Gazi (BDESH),2012-2015,10,10, 35.00 ,1,299,4,28-Jan,74.75,8.54,52.5,0,0
700,DC Stovell (BMUDA),2019-2019,6,6, 17.20 ,0,126,4,21-Feb,31.5,7.26,26,0,0
701,AO Suji (KENYA),2007-2010,8,6, 16.10 ,1,116,4,23-Feb,29,7.17,24.2,0,0
702,Syed Aziz (MAL),2019-2019,14,8, 24.50 ,0,187,4,Feb-33,46.75,7.53,37.2,0,0
703,Syed Rasel (BDESH),2007-2008,8,8, 29.00 ,2,202,4,10-Jan,50.5,6.96,43.5,0,0
704,A Uniyal (Chile),2019-2019,3,3, 9.00 ,1,59,4,17-Mar,14.75,6.55,13.5,0,0
705,Usman Ali (Saudi),2019-2019,5,5, 19.00 ,0,130,4,21-Jan,32.5,6.84,28.5,0,0
706,TCW Veillard (GUE),2019-2019,4,4, 16.00 ,0,93,4,15-Jan,23.25,5.81,24,0,0
707,BV Vitori (ZIM),2012-2016,11,11, 39.40 ,0,323,4,24-Jan,80.75,8.14,59.5,0,0
708,Waqas Barkat (HKG),2014-2019,22,10, 21.20 ,0,152,4,13-Feb,38,7.12,32,0,0
709,SMK Waththage (CZK-R),2019-2019,5,5, 12.00 ,3,66,4,4-Mar,16.5,5.5,18,0,0
710,K Weeraratne (SL),2008-2009,5,5, 15.00 ,0,126,4,19-Apr,31.5,8.4,22.5,1,0
711,CM Wright (SCOT),2007-2009,3,2, 5.00 ,0,49,4,29-Mar,12.25,9.8,7.5,0,0
712,SA Abbott (AUS),2014-2019,4,4, 10.00 ,0,61,3,14-Feb,20.33,6.1,20,0,0
713,AS Abioye (NGA),2019-2019,5,4, 10.00 ,0,87,3,26-Feb,29,8.7,20,0,0
714,AR Adams (NZ),2005-2006,4,4, 12.50 ,0,105,3,20-Feb,35,8.18,25.6,0,0
715,AB Agarkar (INDIA),2006-2007,4,3, 10.30 ,1,85,3,10-Feb,28.33,8.09,21,0,0
716,A Ahmadhel (),2019-2019,3,3, 10.00 ,0,75,3,16-Feb,25,7.5,20,0,0
717,S Appu (MALTA),2019-2019,4,4, 9.00 ,0,74,3,21-Jan,24.66,8.22,18,0,0
718,MNM Aslam (KUW),2019-2019,6,5, 14.00 ,0,85,3,13-Jan,28.33,6.07,28,0,0
719,TD Astle (NZ),2016-2019,3,3, 8.00 ,0,69,3,28-Mar,23,8.62,16,0,0
720,V Ateak (Ghana),2019-2019,4,3, 11.00 ,0,94,3,Feb-36,31.33,8.54,22,0,0
721,MS Aulakh (CAN),2012-2013,3,3, 9.00 ,0,82,3,Feb-40,27.33,9.11,18,0,0
722,G Bakiweyem (Ghana),2019-2019,3,3, 10.00 ,0,62,3,15-Feb,20.66,6.2,20,0,0
723,S Bantzas (),2019-2019,1,1, 3.00 ,0,12,3,12-Mar,4,4,6,0,0
724,F Behardien (SA),2012-2018,38,3, 5.00 ,0,27,3,15-Feb,9,5.4,10,0,0
725,P Bhart (NOR),2019-2019,5,4, 12.00 ,1,68,3,Feb-29,22.66,5.66,24,0,0
726,PRP Boissevain (NL),2019-2019,4,4, 16.00 ,0,116,3,19-Jan,38.66,7.25,32,0,0
727,SM Boland (AUS),2016-2016,3,3, 11.00 ,0,90,3,26-Mar,30,8.18,22,0,0
728,PR Brown (ENG),2019-2019,4,4, 13.00 ,0,128,3,29-Jan,42.66,9.84,26,0,0
729,P Buccimazza (PORT),2019-2019,4,4, 13.00 ,0,86,3,18-Feb,28.66,6.61,26,0,0
730,N Buckle (GUE),2019-2019,3,3, 10.00 ,0,76,3,26-Mar,25.33,7.6,20,0,0
731,CG Burnett (SCOT),2013-2013,1,1, 4.00 ,0,18,3,18-Mar,6,4.5,8,0,0
732,HL Carlyon (JER),2019-2019,9,3, 6.00 ,0,42,3,15-Mar,14,7,12,0,0
733,MS Chapman (HKG/NZ),2014-2018,24,4, 10.00 ,0,77,3,10-Jan,25.66,7.7,20,0,0
734,M Chauhan (Fin),2019-2019,2,2, 8.00 ,1,38,3,16-Feb,12.66,4.75,16,0,0
735,TLW Cooper (NL),2012-2016,18,9, 17.00 ,0,132,3,18-Feb,44,7.76,34,0,0
736,M Cope (LUX),2019-2019,2,2, 5.00 ,0,61,3,23-Feb,20.33,12.2,10,0,0
737,BCJ Cutting (AUS/World),2013-2017,7,7, 21.00 ,0,215,3,18-Jan,71.66,10.23,42,0,0
738,TH David (SGP),2019-2019,12,9, 22.20 ,0,202,3,18-Jan,67.33,9.04,44.6,0,0
739,NS Dhaliwal (CAN),2019-2019,12,5, 8.00 ,0,43,3,11-Jan,14.33,5.37,16,0,0
740,SDJJ Dima (Moz),2019-2019,4,2, 5.00 ,0,57,3,Mar-41,19,11.4,10,0,0
741,S Dube (INDIA),2019-2019,6,6, 12.30 ,0,114,3,30-Mar,38,9.12,25,0,0
742,RMS Eranga (SL),2012-2013,3,3, 11.00 ,0,90,3,Feb-30,30,8.18,22,0,0
743,L Evile (Samoa),2019-2019,4,4, 12.00 ,1,67,3,Jan-00,22.33,5.58,24,0,0
744,Farhan Ahmed (UAE),2016-2016,3,3, 9.00 ,0,66,3,28-Feb,22,7.33,18,0,0
745,Fawad Ahmed (AUS),2013-2013,2,2, 8.00 ,0,68,3,25-Mar,22.66,8.5,16,0,0
746,B Fernando (SL),2015-2015,2,2, 7.20 ,0,71,3,Feb-33,23.66,9.68,14.6,0,0
747,P Florin (ROM),2019-2019,4,2, 1.40 ,0,10,3,3-Feb,3.33,6,3.3,0,0
748,BC Fortuin (SA),2019-2019,2,2, 7.00 ,0,51,3,19-Feb,17,7.28,14,0,0
