ID,Player,Span,Mat,Inns, Overs ,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
114,MR Adair (IRE),2019-2019,17,17, 62.50 ,2,413,27,Apr-40,15.29,6.57,13.9,1,0
115,HS Baidwan (CAN),2008-2013,17,17, 53.50 ,1,411,27,19-Apr,15.22,7.63,11.9,1,0
116,RD Berrington (SCOT),2008-2019,61,37, 81.20 ,0,609,27,17-Mar,22.55,7.48,18,0,0
117,ST Finn (ENG),2011-2015,21,21, 80.00 ,0,583,27,16-Mar,21.59,7.28,17.7,0,0
118,B Stanlake (AUS),2017-2019,19,19, 70.00 ,2,544,27,8-Apr,20.14,7.77,15.5,1,0
119,KJ Abbott (SA),2013-2016,21,21, 72.40 ,0,579,26,20-Mar,22.26,7.96,16.7,0,0
120,Iqbal Hussain (QAT),2019-2019,15,15, 52.10 ,0,426,26,Apr-33,16.38,8.16,12,1,0
121,GJ Maxwell (AUS),2012-2019,61,40, 94.00 ,0,704,26,10-Mar,27.07,7.48,21.6,0,0
122,JA Morkel (SA),2005-2015,50,46, 107.50 ,2,864,26,12-Mar,33.23,8.01,24.8,0,0
123,Sompal Kami (NEPAL),2014-2019,28,28, 90.00 ,1,644,26,23-Mar,24.76,7.15,20.7,0,0
124,MC Sorensen (IRE),2012-2016,26,22, 65.00 ,2,471,26,17-Mar,18.11,7.24,15,0,0
125,P Utseya (ZIM),2006-2015,35,35, 124.50 ,2,858,26,25-Mar,33,6.87,28.8,0,0
126,SE Bond (NZ),2005-2010,20,20, 77.30 ,2,543,25,18-Mar,21.72,7,18.6,0,0
127,TL Chatara (ZIM),2010-2019,21,21, 75.00 ,1,591,25,20-Mar,23.64,7.88,18,0,0
128,Harbhajan Singh (INDIA),2006-2016,28,27, 102.00 ,5,633,25,12-Apr,25.32,6.2,24.4,1,0
129,AF Milne (NZ),2010-2018,21,21, 72.50 ,1,541,25,Apr-37,21.64,7.42,17.4,1,0
130,Nadeem Ahmed (HKG),2014-2017,24,24, 82.30 ,3,546,25,21-Apr,21.84,6.61,19.8,1,0
